"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 03, 2020","290.75","298.00","301.25","288.00","0.39K","-2.43%"
"Jan 02, 2020","298.00","292.25","298.00","291.00","0.27K","2.05%"
"Dec 31, 2019","292.00","290.75","293.00","289.75","0.12K","0.52%"
"Dec 30, 2019","290.50","288.25","293.25","288.25","0.16K","0.69%"
"Dec 27, 2019","288.50","284.75","295.50","284.75","0.53K","1.94%"
"Dec 26, 2019","283.00","287.00","289.25","283.00","0.27K","-0.96%"
"Dec 24, 2019","285.75","289.50","289.50","283.25","0.36K","-0.95%"
"Dec 23, 2019","288.50","292.00","292.75","284.00","0.56K","-1.20%"
"Dec 20, 2019","292.00","300.50","300.50","291.00","0.74K","-1.77%"
"Dec 19, 2019","297.25","301.25","302.00","296.50","0.32K","-0.75%"
"Dec 18, 2019","299.50","305.25","306.50","297.75","0.51K","-2.28%"
"Dec 17, 2019","306.50","308.00","308.00","303.00","0.18K","-0.33%"
"Dec 16, 2019","307.50","300.25","308.75","299.00","0.35K","3.67%"
"Dec 13, 2019","296.60","302.20","303.90","295.40","-","-1.85%"
"Dec 12, 2019","302.20","292.80","303.20","292.50","-","3.21%"
"Dec 11, 2019","292.80","294.40","295.90","291.50","-","-0.54%"
"Dec 10, 2019","294.40","294.50","296.50","290.60","-","-7.06%"
"Dec 09, 2019","316.75","315.00","318.00","315.00","0.00K","0.96%"
"Dec 06, 2019","313.75","314.00","314.00","314.00","0.00K","-0.79%"
"Dec 05, 2019","316.25","313.25","317.75","313.25","0.00K","4.30%"
"Dec 04, 2019","303.20","302.40","305.60","300.60","-","-5.32%"
"Dec 03, 2019","320.25","322.50","331.50","322.00","0.07K","-1.54%"
"Dec 02, 2019","325.25","326.50","328.00","326.50","0.01K","1.25%"
"Nov 29, 2019","321.25","318.50","326.75","317.00","0.06K","2.80%"
"Nov 27, 2019","312.50","319.00","324.00","313.00","0.87K","-1.11%"
"Nov 26, 2019","316.00","314.75","318.50","312.00","0.27K","0.40%"
"Nov 25, 2019","314.75","311.50","322.50","311.00","0.59K","1.04%"
"Nov 22, 2019","311.50","313.50","314.00","310.50","0.36K","-0.64%"
"Nov 21, 2019","313.50","313.00","315.00","311.25","0.57K","-0.08%"
"Nov 20, 2019","313.75","303.25","319.50","303.25","0.72K","2.37%"
"Nov 19, 2019","306.50","305.00","306.75","302.00","0.53K","1.41%"
"Nov 18, 2019","302.25","308.50","310.50","299.25","0.97K","-2.18%"
"Nov 15, 2019","309.00","308.00","312.75","307.50","0.61K","0.08%"
"Nov 14, 2019","308.75","305.00","309.25","305.00","0.35K","1.06%"
"Nov 13, 2019","305.50","309.50","309.50","304.00","0.30K","-0.73%"
"Nov 12, 2019","307.75","313.00","314.00","306.50","0.93K","-1.44%"
"Nov 11, 2019","312.25","303.50","313.00","303.25","0.68K","2.63%"
