,Date,Price,Open,High,Low,Vol.,Change %,direction
871,2017-08-04,83.22,82.25,83.33,82.25,6230.0,0.0152,1
872,2017-08-03,81.97,82.25,82.35,80.8,9620.0,0.0002,1
873,2017-08-02,81.95,80.25,82.17,79.95,10660.0,0.0269,1
874,2017-08-01,79.8,80.33,80.4,79.6,10260.0,-0.0062,-1
875,2017-07-31,80.3,81.03,81.5,80.25,7400.0,-0.013500000000000002,-1
876,2017-07-28,81.4,82.58,82.58,81.12,6900.0,-0.0103,-1
877,2017-07-27,82.25,81.85,82.42,81.33,6000.0,0.003,1
878,2017-07-26,82.0,81.85,82.7,81.5,7700.0,0.0068000000000000005,1
879,2017-07-25,81.45,81.2,81.72,80.78,8510.0,0.013300000000000001,1
880,2017-07-24,80.38,80.72,81.03,80.08,9090.0,-0.0089,-1
881,2017-07-21,81.1,81.22,82.0,81.0,12550.0,0.0,0
882,2017-07-20,81.1,82.65,82.8,81.05,16020.0,-0.0179,-1
883,2017-07-19,82.58,80.62,83.03,80.12,17240.0,0.0258,1
884,2017-07-18,80.5,80.95,81.25,79.9,17670.0,-0.0034999999999999996,-1
885,2017-07-17,80.78,80.05,81.1,79.78,16340.0,-0.1276,-1
886,2017-07-14,92.6,92.75,92.75,92.35,1770.0,-0.0016,-1
887,2017-07-13,92.75,92.6,92.83,92.45,2930.0,0.0018,1
888,2017-07-12,92.58,92.5,92.65,92.38,2430.0,0.004699999999999999,1
889,2017-07-11,92.15,91.92,92.28,91.83,3170.0,0.0074,1
890,2017-07-10,91.47,91.92,92.08,91.33,2740.0,-0.0027,-1
891,2017-07-07,91.72,91.78,92.1,91.55,3720.0,0.0027,1
892,2017-07-06,91.47,92.47,92.47,91.2,5080.0,-0.0063,-1
893,2017-07-05,92.05,91.3,92.58,91.15,4790.0,0.0149,1
894,2017-07-03,90.7,91.05,91.08,90.05,3240.0,0.0009,1
895,2017-06-30,90.62,89.97,90.85,89.8,7010.0,0.0129,1
896,2017-06-29,89.47,88.25,89.65,88.15,6270.0,0.0176,1
897,2017-06-28,87.92,86.9,88.0,86.58,7110.0,0.0168,1
898,2017-06-27,86.47,87.3,87.4,86.25,5880.0,-0.0064,-1
899,2017-06-26,87.03,85.67,87.72,85.55,8420.0,0.0203,1
900,2017-06-23,85.3,85.15,85.35,84.1,7540.0,0.0032,1
901,2017-06-22,85.03,85.95,85.97,84.5,7450.0,-0.012199999999999999,-1
902,2017-06-21,86.08,85.6,86.4,85.4,12480.0,0.0127,1
903,2017-06-20,85.0,84.5,85.28,84.2,14300.0,0.0131,1
904,2017-06-19,83.9,82.97,84.38,82.88,18850.0,0.0191,1
905,2017-06-16,82.33,82.2,82.8,81.65,11310.0,0.0034000000000000002,1
906,2017-06-15,82.05,82.85,83.45,80.72,16410.0,-0.0064,-1
907,2017-06-14,82.58,83.0,83.67,82.22,16530.0,-0.0024,-1
908,2017-06-13,82.78,82.25,82.85,82.2,3730.0,0.009899999999999999,1
909,2017-06-12,81.97,82.3,82.5,81.9,3020.0,-0.0060999999999999995,-1
910,2017-06-09,82.47,82.4,82.6,82.25,2100.0,0.0054,1
911,2017-06-08,82.03,81.95,82.35,81.78,3700.0,0.005,1
912,2017-06-07,81.62,81.9,82.22,81.5,5010.0,-0.0004,-1
913,2017-06-06,81.65,81.22,82.35,80.92,5910.0,0.0115,1
914,2017-06-05,80.72,81.1,81.72,80.45,5250.0,-0.0062,-1
915,2017-06-02,81.22,81.25,81.65,80.88,5110.0,0.0037,1
916,2017-06-01,80.92,82.38,82.38,80.67,6220.0,-0.012199999999999999,-1
917,2017-05-31,81.92,80.9,82.67,80.78,8900.0,0.0176,1
918,2017-05-30,80.5,81.65,81.7,80.4,6170.0,-0.0163,-1
919,2017-05-26,81.83,81.2,81.88,80.85,5340.0,0.0109,1
920,2017-05-25,80.95,80.28,81.08,79.6,6500.0,0.009399999999999999,1
921,2017-05-24,80.2,80.5,80.95,80.03,6090.0,0.0006,1
922,2017-05-23,80.15,78.92,80.28,78.9,8189.999999999999,0.0101,1
923,2017-05-22,79.35,79.08,79.75,78.65,6110.0,-0.0019,-1
924,2017-05-19,79.5,78.67,79.55,78.33,8640.0,0.0044,1
925,2017-05-18,79.15,78.62,79.25,77.95,11410.0,0.0032,1
926,2017-05-17,78.9,79.22,79.95,78.8,15300.0,0.0023,1
927,2017-05-16,78.72,77.1,79.1,76.42,15730.0,0.019,1
928,2017-05-15,77.25,78.05,78.25,77.05,14800.0,-0.009000000000000001,-1
929,2017-05-12,77.95,77.15,78.17,76.88,17710.0,0.0898,1
930,2017-05-11,71.53,71.45,71.75,71.45,290.0,0.0068000000000000005,1
931,2017-05-10,71.05,70.72,71.35,70.72,380.0,0.010700000000000001,1
932,2017-05-09,70.3,70.3,70.65,70.1,280.0,0.005699999999999999,1
933,2017-05-08,69.9,69.25,70.1,69.25,240.0,0.0072,1
934,2017-05-05,69.4,69.5,69.5,69.15,240.0,0.0058,1
935,2017-05-04,69.0,68.47,69.5,68.35,510.0,0.0155,1
936,2017-05-03,67.95,67.5,68.2,67.5,340.0,0.0149,1
937,2017-05-02,66.95,66.5,67.12,66.5,280.0,0.0126,1
938,2017-05-01,66.12,67.0,67.38,66.03,200.0,-0.0127,-1
939,2017-04-28,66.97,66.7,67.25,66.6,210.0,0.001,1
940,2017-04-27,66.9,65.25,67.62,65.25,520.0,0.0345,1
941,2017-04-26,64.67,65.28,66.42,64.6,370.0,-0.0084,-1
942,2017-04-25,65.22,64.3,65.85,64.3,680.0,0.0127,1
943,2017-04-24,64.4,62.8,64.47,62.8,440.0,0.0219,1
944,2017-04-21,63.02,63.5,63.9,62.5,670.0,-0.012199999999999999,-1
945,2017-04-20,63.8,65.53,65.75,63.6,630.0,-0.0316,-1
946,2017-04-19,65.88,66.67,66.67,65.83,310.0,-0.0189,-1
947,2017-04-18,67.15,67.9,67.9,66.08,250.0,-0.0084,-1
948,2017-04-17,67.72,68.53,68.6,67.5,100.0,0.08439999999999999,1
949,2017-04-13,62.45,62.25,62.52,62.15,1870.0,0.0034999999999999996,1
950,2017-04-12,62.23,62.7,62.9,62.17,3280.0,-0.0067,-1
951,2017-04-11,62.65,63.3,63.4,62.58,5080.0,-0.010700000000000001,-1
