Date,Price,Open,High,Low,Vol.,Change %,direction
2017-11-27,996.38,993.88,"1,001.38",990.62,,0.0033,1
2017-11-24,993.12,994.88,999.62,991.12,,-0.0043,-1
2017-11-22,997.38,987.88,999.38,987.62,,0.008100000000000001,1
2017-11-21,989.38,989.62,991.12,986.38,,-0.0005,-1
2017-11-20,989.88,989.88,991.88,983.12,,-0.0007000000000000001,-1
2017-11-17,990.62,972.62,991.88,971.62,,0.019,1
2017-11-16,972.12,976.38,978.38,970.38,,-0.0040999999999999995,-1
2017-11-15,976.12,969.12,977.88,968.12,,0.0088,1
2017-11-14,967.62,975.12,977.12,967.12,,-0.0069,-1
2017-11-13,974.38,987.12,990.12,973.88,,-0.0129,-1
2017-11-10,987.12,985.88,990.75,983.88,,0.0023,1
2017-11-09,984.88,998.12,"1,007.62",983.62,,-0.013500000000000002,-1
2017-11-08,998.38,996.00,999.38,994.88,,0.0023,1
2017-11-07,996.12,994.38,998.62,991.38,,0.0023,1
2017-11-06,993.88,987.12,995.62,985.38,,0.0066,1
2017-11-03,987.38,998.62,998.88,985.88,,-0.0118,-1
2017-11-02,999.12,990.12,"1,000.38",990.12,,0.0078000000000000005,1
2017-11-01,991.38,984.75,994.88,983.88,,0.0069,1
2017-10-31,984.62,984.38,988.38,982.12,,0.0002,1
2017-10-30,984.38,986.88,993.25,983.12,,0.01,1
2017-10-27,974.62,970.62,976.62,969.88,,0.0040999999999999995,1
2017-10-26,970.62,975.88,978.62,970.62,,-0.0051,-1
2017-10-25,975.62,975.88,983.12,975.38,,0.0002,1
2017-10-24,975.38,979.88,982.88,972.88,,-0.0053,-1
2017-10-23,980.62,977.12,982.88,975.12,,0.002,1
2017-10-20,978.62,985.38,993.88,978.62,,-0.008100000000000001,-1
2017-10-19,986.62,983.38,988.88,983.38,,0.0025,1
2017-10-18,984.12,985.38,988.38,981.88,,-0.0003,-1
2017-10-17,984.38,989.38,990.38,982.62,,-0.0060999999999999995,-1
2017-10-16,990.38,997.88,998.75,990.38,,-0.009000000000000001,-1
2017-10-13,999.38,990.88,"1,003.12",990.38,,0.0073,1
2017-10-12,992.12,964.88,997.38,961.88,,0.0277,1
2017-10-11,965.38,965.62,967.38,963.38,,-0.0005,-1
2017-10-10,965.88,966.25,975.62,964.38,,-0.0008,-1
2017-10-09,966.62,974.38,976.88,965.38,,-0.0059,-1
2017-10-06,972.38,967.88,972.88,963.62,,0.0044,1
2017-10-05,968.12,958.38,970.88,957.88,,0.0102,1
2017-10-04,958.38,955.62,961.62,952.88,,0.0034000000000000002,1
2017-10-03,955.12,956.38,961.12,952.62,,-0.0021,-1
2017-10-02,957.12,967.38,967.88,956.38,,-0.0101,-1
2017-09-29,966.88,959.12,975.88,955.38,,0.0076,1
2017-09-28,959.62,964.88,965.88,957.62,,-0.005699999999999999,-1
2017-09-27,965.12,963.12,968.38,958.12,,0.0018,1
2017-09-26,963.38,971.62,974.12,962.62,,-0.008199999999999999,-1
2017-09-25,971.38,983.38,985.62,971.12,,-0.0132,-1
2017-09-22,984.38,969.62,986.88,969.12,,0.0139,1
2017-09-21,970.88,970.12,972.88,963.12,,0.0008,1
2017-09-20,970.12,966.88,973.88,964.88,,0.004699999999999999,1
2017-09-19,965.62,968.12,971.62,958.62,,-0.0018,-1
2017-09-18,967.38,966.62,976.38,966.62,,-0.0015,-1
2017-09-15,968.88,975.38,977.50,967.38,,-0.0077,-1
2017-09-14,976.38,960.88,978.12,960.38,,0.016399999999999998,1
2017-09-13,960.62,949.62,963.38,946.88,,0.0105,1
2017-09-12,950.62,960.38,965.62,938.62,,-0.0102,-1
2017-09-11,960.38,964.62,968.62,957.00,,-0.0016,-1
2017-09-08,961.88,967.88,976.62,961.88,,-0.006999999999999999,-1
2017-09-07,968.62,971.38,977.25,965.88,,-0.0022,-1
2017-09-06,970.75,967.62,976.62,964.88,,0.003,1
2017-09-05,967.88,953.38,973.38,952.62,,0.02,1
2017-09-01,948.88,947.62,951.62,943.12,,0.0024,1
2017-08-31,946.62,933.12,948.62,932.88,,0.0139,1
2017-08-30,933.62,936.88,940.88,931.62,,-0.0043,-1
2017-08-29,937.62,940.62,943.62,934.62,,-0.0042,-1
2017-08-28,941.62,943.88,950.38,938.12,,0.0027,1
2017-08-25,939.12,939.88,941.75,937.12,,-0.0021,-1
2017-08-24,941.12,934.38,942.50,932.38,,0.0060999999999999995,1
2017-08-23,935.38,941.00,943.12,929.12,,0.0019,1
2017-08-22,933.62,931.62,938.38,927.88,,0.0013,1
2017-08-21,932.38,935.12,936.12,930.25,,-0.0053,-1
2017-08-18,937.38,930.12,938.88,927.88,,0.0078000000000000005,1
2017-08-17,930.12,925.62,931.88,922.12,,0.0089,1
2017-08-16,921.88,921.38,925.50,917.38,,0.0,0
