Date,Price,Open,High,Low,Vol.,Change %,direction
2017-03-07,456.25,459.25,460.75,451.0,,-0.0054,-1
2017-03-06,458.75,456.75,462.5,456.5,,0.009899999999999999,1
2017-03-03,454.25,451.0,455.5,448.25,,0.0017000000000000001,1
2017-03-02,453.5,457.5,459.5,450.12,,-0.008199999999999999,-1
2017-03-01,457.25,443.0,457.25,442.5,,0.0304,1
2017-02-28,443.75,440.75,454.38,439.25,,0.011399999999999999,1
2017-02-27,438.75,447.5,447.75,438.25,,0.013300000000000001,1
2017-02-24,433.0,438.38,438.5,430.25,,-0.0092,-1
2017-02-23,437.0,441.62,444.25,436.5,,-0.0091,-1
2017-02-22,441.0,437.75,443.0,435.5,,0.0092,1
2017-02-21,437.0,439.0,440.75,435.25,,-0.0096,-1
2017-02-17,441.25,445.5,447.5,441.12,,-0.014499999999999999,-1
2017-02-16,447.75,454.25,464.25,447.5,,-0.0159,-1
2017-02-15,455.0,449.25,455.0,446.5,,0.011699999999999999,1
2017-02-14,449.75,450.75,452.0,446.62,,-0.0039000000000000003,-1
2017-02-13,451.5,448.0,456.0,444.5,,0.0039000000000000003,1
2017-02-10,449.75,442.75,450.75,441.25,,0.0141,1
2017-02-09,443.5,431.0,443.5,429.75,,0.0248,1
2017-02-08,432.75,430.25,433.0,427.75,,0.0064,1
2017-02-07,430.0,423.0,430.0,420.0,,0.015300000000000001,1
2017-02-06,423.5,428.5,432.5,423.25,,-0.0171,-1
2017-02-03,430.88,434.25,435.5,430.75,,-0.01,-1
2017-02-02,435.25,433.0,437.75,429.75,,0.0058,1
2017-02-01,432.75,421.25,432.75,417.25,,0.0279,1
2017-01-31,421.0,415.5,421.0,413.25,,0.0163,1
2017-01-30,414.25,417.5,419.0,413.12,,-0.0178,-1
2017-01-27,421.75,425.5,427.5,419.5,,-0.0103,-1
2017-01-26,426.12,425.25,430.5,422.0,,0.0044,1
2017-01-25,424.25,425.38,428.88,423.25,,-0.008199999999999999,-1
2017-01-24,427.75,433.25,434.5,426.75,,-0.0121,-1
2017-01-23,433.0,429.25,433.0,427.5,,0.011699999999999999,1
2017-01-20,428.0,423.0,428.0,421.75,,0.0106,1
2017-01-19,423.5,430.75,430.75,423.5,,-0.0174,-1
2017-01-18,431.0,433.25,434.25,428.75,,-0.004,-1
2017-01-17,432.75,426.0,437.62,423.75,,0.0152,1
2017-01-13,426.25,426.75,426.75,419.5,,0.0009,1
2017-01-12,425.88,418.75,429.88,414.5,,0.016399999999999998,1
2017-01-11,419.0,425.0,426.0,412.25,,-0.0187,-1
2017-01-10,427.0,426.5,427.25,423.5,,-0.0006,-1
2017-01-09,427.25,424.0,428.25,421.12,,0.01,1
2017-01-06,423.0,425.75,428.0,422.0,,-0.0059,-1
2017-01-05,425.5,419.25,427.0,416.5,,0.0179,1
2017-01-04,418.0,406.5,418.0,405.0,,0.0286,1
2017-01-03,406.38,408.38,414.0,406.38,,-0.0034000000000000002,-1
2016-12-30,407.75,405.75,409.25,404.75,,0.0074,1
2016-12-29,404.75,403.5,407.0,402.75,,0.0075,1
2016-12-28,401.75,409.75,410.0,400.5,,-0.020099999999999996,-1
2016-12-27,410.0,395.25,411.0,395.25,,0.039599999999999996,1
2016-12-23,394.38,397.5,398.25,392.75,,-0.006,-1
2016-12-22,396.75,399.0,400.5,396.75,,-0.0069,-1
