Date,Price,Open,High,Low,Vol.,Change %,direction
2018-06-08,110.025,108.7,110.45,108.675,3180.0,0.0152,1
2018-06-07,108.375,109.0,109.2,108.1,3490.0,0.0007000000000000001,1
2018-06-06,108.3,107.375,109.35,107.375,6390.0,0.0103,1
2018-06-05,107.2,105.2,107.5,105.075,7100.0,0.0236,1
2018-06-04,104.725,105.0,105.875,104.6,6930.0,-0.0017000000000000001,-1
2018-06-01,104.9,105.25,105.775,104.55,10800.0,-0.0014000000000000002,-1
2018-05-31,105.05,106.325,106.65,103.325,14440.0,-0.0101,-1
2018-05-30,106.125,103.05,106.125,102.85,15220.0,0.0291,1
2018-05-29,103.125,104.65,104.7,102.85,12470.0,-0.0146,-1
2018-05-25,104.65,104.4,104.95,103.725,9300.0,0.0024,1
2018-05-24,104.4,105.625,105.725,104.25,8950.0,-0.01,-1
2018-05-23,105.45,104.5,105.95,104.475,13410.0,0.0052,1
2018-05-22,104.9,105.0,105.225,104.125,7770.0,-0.0002,-1
2018-05-21,104.925,103.4,105.4,103.325,14910.0,0.024700000000000003,1
2018-05-18,102.4,103.3,103.8,102.275,13150.0,-0.0063,-1
2018-05-17,103.05,102.0,103.575,101.375,24190.0,0.012,1
2018-05-16,101.825,102.5,103.75,101.65,26850.0,-0.011200000000000002,-1
2018-05-15,102.975,104.525,104.575,102.225,36780.0,-0.0158,-1
2018-05-14,104.625,106.85,106.85,104.625,35180.0,-0.0279,-1
2018-05-11,107.625,107.85,108.05,106.15,46680.0,0.0009,1
2018-05-10,107.525,105.475,108.1,104.975,50270.0,0.0175,1
2018-05-09,105.675,106.625,107.1,105.35,46860.0,-0.0059,-1
2018-05-08,106.3,105.45,106.925,104.6,40430.0,0.010700000000000001,1
2018-05-07,105.175,106.05,106.275,104.85,30130.0,-0.0083,-1
2018-05-04,106.05,107.0,107.1,105.825,24130.0,-0.0045000000000000005,-1
2018-05-03,106.525,105.0,107.575,104.5,39290.0,0.016,1
2018-05-02,104.85,106.2,106.825,104.35,34190.0,-0.0092,-1
2018-05-01,105.825,106.3,106.4,103.825,42070.0,-0.1448,-1
2018-04-30,123.75,124.675,125.15,123.75,250.0,-0.005600000000000001,-1
2018-04-27,124.45,122.55,124.725,122.5,1610.0,0.015700000000000002,1
2018-04-26,122.525,121.975,122.625,121.975,1590.0,0.0049,1
2018-04-25,121.925,121.3,122.05,121.3,1710.0,0.0068000000000000005,1
2018-04-24,121.1,121.5,122.2,121.0,2460.0,-0.0051,-1
2018-04-23,121.725,119.825,121.8,119.625,2260.0,0.0199,1
2018-04-20,119.35,118.2,119.425,117.15,2250.0,0.0132,1
2018-04-19,117.8,119.05,119.5,117.6,4920.0,-0.009899999999999999,-1
2018-04-18,118.975,118.575,119.075,118.475,2260.0,0.0078000000000000005,1
2018-04-17,118.05,117.375,118.7,117.375,2050.0,0.0077,1
2018-04-16,117.15,117.725,118.4,117.1,2540.0,0.0051,1
2018-04-13,116.55,116.25,117.075,115.85,2520.0,0.0069,1
2018-04-12,115.75,113.85,116.175,113.85,3200.0,0.019799999999999998,1
2018-04-11,113.5,113.25,114.0,113.075,2680.0,0.0062,1
2018-04-10,112.8,112.65,113.675,112.15,2630.0,0.0069,1
