Price T-1,headline_positiveness,headline_negativeness,Price
11.93,0.06866666666666668,0.0,12.075
12.075,0.05433333333333334,0.07066666666666667,11.975
11.975,0.08425,0.03825,11.605
11.605,0.0,0.06825,11.665
11.665,0.040363636363636365,0.057999999999999996,11.49
11.49,0.153,0.0,11.55
11.55,0.05783333333333333,0.04166666666666666,11.45
11.45,0.1106,0.095,11.29
11.29,0.11375,0.0,11.2
11.2,0.037000000000000005,0.11983333333333335,11.15
11.15,0.36700000000000005,0.0,11.285
11.285,0.1235,0.0,11.24
11.24,0.10533333333333332,0.0961111111111111,11.24
11.24,0.14637499999999998,0.105625,11.425
11.425,0.23572727272727276,0.07672727272727273,11.46
11.46,0.07775,0.26575,11.405
11.405,0.06875,0.05775,11.12
11.12,0.04928571428571428,0.05857142857142857,11.24
11.24,0.247,0.0,12.085
12.085,0.17785714285714285,0.05985714285714287,12.165
12.165,0.0,0.0,12.285
12.375,0.1942857142857143,0.06214285714285715,12.34
12.34,0.222,0.0,12.42
12.42,0.0,0.0,12.42
12.42,0.0,0.0,12.295
12.295,0.1061111111111111,0.07066666666666667,12.305
12.305,0.389,0.0,12.375
12.375,0.28300000000000003,0.0,12.53
12.53,0.2015,0.0,12.46
12.46,0.0,0.0,12.18
12.18,0.07325,0.037000000000000005,12.33
12.33,0.0,0.0,12.185
12.185,0.121,0.08783333333333332,12.13
12.13,0.08900000000000001,0.1395,12.065
12.065,0.068,0.08733333333333332,12.22
12.22,0.08633333333333333,0.107,12.26
12.26,0.0666,0.0,11.77
11.77,0.07666666666666666,0.09166666666666667,11.715
11.715,0.2533333333333333,0.0,11.705
11.71,0.22899999999999998,0.313,11.715
11.715,0.0,0.0,11.84
11.84,0.0984,0.0318,11.995
11.995,0.071,0.1535,11.95
11.795,0.04542857142857143,0.0,11.79
11.655,0.2855,0.207,11.68
11.68,0.0,0.0,11.793
11.793,0.0,0.0,11.41
11.41,0.13470588235294118,0.04711764705882353,11.703
11.703,0.0,0.0,11.565
11.565,0.0,0.0,11.873
11.873,0.124875,0.10175,11.958
11.958,0.0,0.05,11.898
11.898,0.02583333333333333,0.014666666666666666,11.732999999999999
11.732999999999999,0.07400000000000001,0.0,11.815
11.815,0.198875,0.21925,12.145
12.145,0.0,0.0,12.15
12.15,0.06536363636363637,0.0,12.145
12.145,0.0,0.0,12.205
12.205,0.0,0.0,12.18
12.18,0.0618,0.0782,12.2
12.2,0.0,0.0,12.165
12.165,0.11800000000000001,0.0,12.14
12.14,0.0,0.0,12.335
12.335,0.0,0.0,12.435
12.435,0.0,0.0,12.41
12.44,0.208,0.09,12.405
12.405,0.3835,0.0,12.46
12.46,0.0586,0.0,12.53
12.53,0.066,0.07975,12.55
12.55,0.2425,0.302,12.5
12.5,0.13170833333333334,0.08541666666666665,12.445
12.445,0.1156,0.0,12.325
12.39,0.07266666666666667,0.17133333333333334,12.285
12.285,0.0,0.14300000000000002,12.25
12.25,0.06670000000000001,0.06399999999999999,11.95
11.95,0.2316666666666667,0.0,12.015
12.015,0.0,0.117,11.855
11.855,0.0,0.0,11.96
11.96,0.14636363636363636,0.10909090909090907,12.02
12.02,0.07875,0.12075,11.965
11.965,0.0,0.0,11.89
11.89,0.0,0.0,11.95
11.95,0.0,0.0,12.39
12.39,0.09055555555555556,0.034,12.42
12.42,0.158,0.0,12.265
12.265,0.0,0.0,12.3
12.3,0.10933333333333334,0.021666666666666667,12.472999999999999
12.472999999999999,0.0,0.08166666666666668,12.315
12.315,0.07761538461538461,0.10192307692307694,12.418
12.418,0.0,0.0,12.338
12.338,0.0,0.0,12.293
12.293,0.0,0.1364,12.275
12.275,0.222,0.0,12.345
12.345,0.10666666666666666,0.0,12.41
12.41,0.0,0.31,12.46
12.46,0.11725,0.0,12.285
12.285,0.0556,0.046200000000000005,12.205
12.205,0.1196,0.0676,12.315
12.325,0.1816,0.0,12.36
12.36,0.0,0.0,12.46
12.46,0.0,0.0,12.445
12.445,0.04933333333333333,0.028777777777777774,12.445
12.445,0.0,0.0592,12.355
12.355,0.0,0.0,12.31
12.31,0.0,0.07183333333333335,12.385
12.385,0.0,0.0,12.42
12.42,0.04933333333333333,0.034888888888888886,12.39
12.39,0.0,0.15025,12.495
12.82,0.09266666666666667,0.0,12.775
12.775,0.0,0.0,12.805
12.805,0.1352941176470588,0.07735294117647057,12.885
12.885,0.315,0.0,13.11
13.11,0.191,0.1405,13.055
13.055,0.1825,0.0,13.155
13.155,0.0,0.0,13.175
13.175,0.04933333333333333,0.12388888888888888,13.08
13.08,0.0715,0.0,12.99
13.065,0.07175,0.0985,13.13
13.13,0.0,0.204,13.105
13.105,0.07933333333333333,0.06658333333333334,12.71
12.71,0.20199999999999999,0.184,12.81
12.81,0.3035,0.0,12.785
12.785,0.0,0.0,12.635
12.635,0.1817692307692308,0.05207692307692308,12.755
13.01,0.364,0.182,12.68
12.68,0.1375,0.0,12.53
12.53,0.10271428571428573,0.13614285714285715,12.525
12.525,0.035,0.03185714285714285,12.45
12.45,0.09135714285714283,0.0315,12.355
12.355,0.029428571428571425,0.02,12.485
12.485,0.10579999999999998,0.1162,12.523
12.523,0.10800000000000001,0.0,12.485
12.485,0.0,0.0,12.55
